customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8270-TOKH,Female,0,No,No,58,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),81.42,4709.71,No
6734-ZSWK,Male,1,Yes,No,44,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.88,4005.88,Yes
6578-XUDH,Male,0,No,No,25,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,73.38,1822.27,No
9322-VUBX,Female,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,36.47,2313.39,No
7949-BUAL,Male,1,Yes,No,10,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),75.8,724.63,No
4385-VLYQ,Female,0,Yes,No,49,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,97.21,4740.92,No
9666-JPOO,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),114.78,6547.39,No
4005-SLWT,Female,0,Yes,Yes,33,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,87.9,2898.16,Yes
2528-CESG,Female,0,No,Yes,15,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,118.75,1778.19,Yes
6393-DYNR,Male,0,Yes,Yes,58,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),91.16,5274.76,No
8513-UBTO,Male,0,Yes,No,0,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,91.9, ,Yes
8099-GLHO,Female,0,Yes,No,40,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),95.84,3832.69,No
9226-NQDR,Female,0,Yes,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,43.09,1170.21,No
4943-DBFV,Male,0,No,No,14,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,No,Electronic check,72.03,1023.05,No
4843-VRZL,Male,0,Yes,No,45,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),112.1,5012.21,No
1161-JDNP,Female,0,No,No,31,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,113.0,3503.43,No
8629-WYHU,Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),85.71,3245.64,No
7863-MROU,Male,0,No,No,64,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,107.06,6850.7,No
5887-ZYMI,Male,1,No,No,72,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,114.32,8197.84,Yes
6276-OMAY,Female,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Mailed check,118.75,1195.2,No
9006-IXAL,Male,0,No,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,37.17,2588.05,No
3695-XKSQ,Male,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,104.48,3463.53,Yes
1391-CCAE,Male,0,Yes,No,49,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,104.37,5113.13,No
4561-GZIG,Male,0,Yes,Yes,43,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),103.68,4480.16,No
9392-HLBA,Male,0,Yes,Yes,13,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,63.7,847.81,No
8215-WWXE,Female,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),44.26,3107.05,No
3731-HVCA,Male,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.2,827.8,No
9110-NCAE,Male,0,Yes,No,67,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),75.94,5057.08,No
8385-WNGI,Male,0,No,No,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.8,980.99,No
1206-OZJM,Male,0,Yes,No,31,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.55,2466.34,No
8858-GQTD,Female,0,Yes,Yes,54,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,96.57,5210.29,No
2757-EWGM,Female,1,No,Yes,24,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),108.67,2599.21,Yes
